date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,estimated_source_type
20210125,08:33:47,37.6,62.01,45,16,Landfill/Urban
20210125,08:33:50,38.92,64.85,18,7,Gas
20210125,10:12:51,31.2,48.67,13,5,Oil
20210125,10:14:21,34.71,40.99,16,6,Oil
20210125,20:18:49,20.57,-102.72,36,14,Landfill/Urban
20210126,06:30:18,27.28,95.19,29,11,Oil
20210126,08:09:25,19.2,72.88,41,19,Gas
20210126,08:11:27,24.91,66.78,31,11,Landfill/Urban
20210126,08:11:39,28.52,77.39,75,27,Landfill/Urban
20210126,08:12:35,31.56,74.37,48,17,Landfill/Urban
20210126,08:12:34,31.4,73.1,18,7,Landfill/Urban
20210126,08:12:46,32.07,74.08,37,16,Landfill/Urban
20210126,08:13:14,33.38,72.84,31,10,Landfill/Urban
20210126,08:15:27,37.61,62.19,99,40,Landfill/Urban
20210126,08:15:23,39.38,64.61,25,9,Gas
20210126,08:15:28,41.14,69.16,31,10,Gas
20210126,19:59:39,19.67,-99.2,14,6,Landfill/Urban
20210126,19:59:43,20.23,-97.47,21,8,Gas
20210126,20:00:09,20.58,-103.16,23,9,Landfill/Urban
20210127,07:51:06,23.52,86.55,12,4,Coal
20210127,07:52:49,28.43,77.54,12,5,Landfill/Urban
20210127,07:52:55,29.02,77.61,36,16,Landfill/Urban
20210127,07:53:54,31.54,74.36,55,21,Landfill/Urban
20210127,07:54:05,32.2,74.24,26,9,Landfill/Urban
20210127,07:54:32,33.71,73.09,28,9,Landfill/Urban
20210127,09:34:52,29.2,47.87,10,3,Landfill/Urban
20210127,09:36:17,36.4,61.87,13,11,Oil
20210127,09:36:32,37.43,60.34,88,36,Gas
20210127,09:36:35,37.72,61.64,41,18,Gas
20210127,09:36:52,39.08,63.34,22,10,Gas
20210127,09:37:07,39.43,60.51,57,22,Gas
20210127,12:57:55,31.58,6.07,39,13,Gas
20210127,19:40:04,17.71,-94.35,14,8,Landfill/Urban
20210128,05:54:30,36.5,108.75,25,12,Oil
20210128,07:31:59,23.48,90.65,160,66,Landfill/Urban
20210128,07:32:15,23.7,86.46,18,10,Coal
20210128,07:32:07,24.01,90.33,46,19,Landfill/Urban
20210128,07:35:24,31.56,74.27,37,13,Landfill/Urban
20210128,09:17:14,36.42,61.5,35,20,Oil
20210128,09:17:36,37.68,61.76,85,28,Gas
20210128,09:18:18,40.02,60.95,22,8,Gas
20210128,12:37:52,27.63,9.8,25,8,Gas
20210128,12:39:11,31.8,6.3,23,8,Gas
20210129,05:35:27,36.99,114.5,19,8,Coal
20210129,05:35:48,37.52,110.61,85,49,Coal
20210129,07:13:18,24.0,90.34,47,18,Landfill/Urban
20210129,07:13:11,23.55,90.67,213,78,Landfill/Urban
20210129,07:14:08,27.43,95.37,28,12,Oil
20210129,08:54:59,24.95,66.98,100,53,Landfill/Urban
20210129,08:56:59,32.16,73.92,66,27,Landfill/Urban
20210129,08:58:47,37.56,61.94,64,21,Landfill/Urban
20210129,12:19:13,27.93,9.46,32,10,Gas
20210129,12:20:32,32.07,6.49,39,13,Gas
20210130,06:54:28,23.43,90.73,93,28,Landfill/Urban
20210130,06:55:15,27.34,95.29,32,14,Oil
20210130,10:15:02,15.59,45.98,5,2,Oil
20210131,06:32:38,14.16,100.45,26,14,Landfill/Urban
20210131,06:35:54,23.68,90.79,52,21,Landfill/Urban
20210131,06:36:31,27.32,95.29,24,9,Oil
20210131,08:16:40,22.94,72.33,10,4,Oil
20210131,08:17:24,26.98,80.79,75,28,Landfill/Urban
20210131,08:17:36,24.86,67.28,124,42,Landfill/Urban
20210131,08:17:59,28.55,77.32,48,16,Landfill/Urban
20210131,08:18:44,31.2,75.67,7,2,Landfill/Urban
20210131,08:18:56,31.65,73.23,15,7,Landfill/Urban
20210131,08:18:50,31.49,74.39,59,21,Landfill/Urban
20210131,20:06:22,20.46,-103.24,26,14,Landfill/Urban
20210201,06:17:55,27.35,95.38,36,12,Oil
20210201,07:57:22,23.4,86.7,15,6,Gas
20210201,07:58:29,26.94,80.94,20,10,Landfill/Urban
20210201,07:59:08,28.8,77.24,60,27,Landfill/Urban
20210201,08:00:13,31.56,74.43,49,17,Landfill/Urban
20210201,09:44:41,43.46,52.88,37,12,Oil
20210201,12:58:44,12.54,13.82,36,14,Unclassified
20210201,19:50:34,31.84,-101.79,38,13,Oil
20210202,06:00:43,36.65,108.52,41,15,Oil
20210202,07:38:23,23.56,90.72,197,76,Landfill/Urban
20210202,07:38:28,23.69,86.47,42,18,Coal
20210202,07:38:28,23.84,90.39,42,17,Landfill/Urban
20210202,07:40:01,27.23,78.08,13,6,Landfill/Urban
20210202,07:40:31,28.75,77.16,52,19,Landfill/Urban
20210202,09:20:14,24.91,67.12,187,58,Landfill/Urban
20210202,09:24:30,39.65,60.2,17,8,Gas
20210203,05:38:04,23.29,113.45,18,7,Landfill/Urban
20210203,05:40:32,32.91,116.69,16,7,Coal
20210203,07:19:26,21.53,83.67,24,9,Coal
20210203,07:19:29,23.55,90.63,118,42,Landfill/Urban
20210203,07:19:42,23.51,86.6,27,15,Coal
20210203,07:19:33,23.91,90.32,41,14,Landfill/Urban
20210203,07:20:25,27.37,95.44,42,14,Gas
20210203,09:01:18,24.97,67.02,79,33,Landfill/Urban
20210203,09:05:12,35.59,51.34,61,32,Gas
20210203,09:05:10,38.35,61.6,107,36,Gas
20210203,09:05:34,37.78,53.89,45,19,Oil
20210203,12:26:44,32.06,6.38,12,6,Gas
20210204,05:19:22,23.37,113.5,12,7,Landfill/Urban
20210204,07:00:52,23.93,90.77,45,16,Landfill/Urban
20210204,07:01:12,23.68,86.4,15,6,Coal
20210204,07:01:29,27.41,95.61,35,15,Gas
20210204,08:40:08,17.55,78.57,23,10,Landfill/Urban
20210204,08:41:33,22.38,72.93,23,12,Oil
20210204,08:41:44,23.31,72.63,74,38,Oil
20210204,08:44:48,33.98,71.91,27,12,Landfill/Urban
20210204,10:21:13,15.56,45.78,7,5,Oil
20210205,05:03:31,33.81,113.61,28,14,Coal
20210205,05:04:49,37.53,110.77,54,18,Coal
20210205,05:04:47,39.73,116.61,12,4,Landfill/Urban
20210205,06:38:48,13.97,99.81,23,14,Landfill/Urban
20210205,06:42:00,23.06,90.76,18,12,Landfill/Urban
20210205,06:42:19,23.92,90.18,61,40,Landfill/Urban
20210205,06:42:43,27.37,95.44,63,21,Gas
20210205,08:21:08,17.54,78.54,5,2,Landfill/Urban
20210205,08:23:50,24.92,67.04,20,8,Landfill/Urban
20210205,08:24:16,28.49,76.99,55,21,Landfill/Urban
20210205,08:25:18,31.68,72.84,12,5,Landfill/Urban
20210205,08:25:15,31.62,74.34,66,21,Landfill/Urban
20210205,08:25:57,33.99,71.9,42,12,Landfill/Urban
20210205,20:12:37,20.62,-103.03,19,6,Landfill/Urban
20210205,20:15:10,30.81,-102.11,87,35,Oil
20210205,20:15:44,31.99,-104.18,69,26,Gas
20210205,20:15:47,32.35,-101.47,50,22,Oil
20210206,04:46:00,37.87,114.4,123,70,Landfill/Urban
20210206,06:20:10,13.89,100.02,29,15,Landfill/Urban
20210206,06:24:06,27.37,95.55,23,10,Gas
20210206,08:02:39,18.89,79.05,15,5,Landfill/Urban
20210206,08:03:09,21.11,81.71,16,6,Landfill/Urban
20210206,08:05:15,28.2,77.55,46,18,Landfill/Urban
20210206,08:06:19,31.44,74.2,55,19,Landfill/Urban
20210206,08:06:27,32.07,74.41,28,9,Landfill/Urban
20210206,08:06:57,33.48,73.09,36,11,Landfill/Urban
20210206,08:07:13,34.15,72.02,11,4,Landfill/Urban
20210206,17:56:22,-34.36,-58.54,14,9,Landfill/Urban
20210206,19:53:36,20.38,-97.49,13,5,Gas
20210207,06:03:07,23.3,113.44,15,5,Landfill/Urban
20210207,06:05:33,30.63,104.33,10,6,Landfill/Urban
20210207,07:43:33,17.09,78.23,28,12,Landfill/Urban
20210207,07:44:42,23.43,86.68,28,12,Coal
20210207,07:45:50,26.46,80.6,9,4,Landfill/Urban
20210207,07:46:15,26.8,75.97,7,3,Landfill/Urban
20210207,07:46:37,28.31,77.72,63,26,Landfill/Urban
20210207,07:47:40,31.57,74.39,45,17,Landfill/Urban
20210207,07:47:51,32.19,74.29,26,12,Landfill/Urban
20210207,09:26:36,24.95,66.73,74,28,Landfill/Urban
20210207,19:38:19,32.14,-103.31,87,36,Gas
20210208,05:47:54,35.79,109.23,25,10,Coal
20210208,05:48:05,36.59,109.64,29,12,Oil
20210208,05:48:08,36.85,111.64,66,21,Coal
20210208,07:25:52,23.88,90.34,57,20,Landfill/Urban
20210208,07:25:54,23.59,86.41,22,8,Coal
20210208,07:26:49,27.53,95.37,18,7,Oil
20210208,07:27:21,26.42,80.37,16,7,Landfill/Urban
20210208,07:28:03,28.66,77.47,86,34,Landfill/Urban
20210208,09:07:36,24.99,66.98,71,23,Landfill/Urban
20210208,19:19:32,31.87,-101.7,58,24,Oil
20210209,05:28:52,35.47,112.61,28,14,Coal
20210209,05:29:09,35.11,107.86,12,6,Coal
20210209,05:29:24,36.58,109.99,18,11,Coal
20210209,05:29:31,38.02,113.54,69,24,Coal
20210209,05:29:50,38.5,110.16,26,13,Coal
20210209,05:30:02,39.4,110.75,36,29,Coal
20210209,07:07:04,23.89,90.43,39,16,Landfill/Urban
20210209,07:07:20,23.67,86.33,8,4,Coal
20210209,07:07:44,27.22,95.16,18,6,Oil
20210209,20:40:49,31.19,-103.11,46,22,Gas
20210210,05:09:44,33.85,113.58,18,8,Coal
20210210,06:47:26,21.48,94.52,11,7,Gas
20210210,06:48:16,23.27,90.36,139,45,Landfill/Urban
20210210,06:48:24,23.9,90.43,58,20,Landfill/Urban
20210210,06:48:55,27.36,95.3,45,16,Oil
20210210,08:27:24,17.38,78.66,24,10,Landfill/Urban
20210210,08:30:44,29.17,77.18,76,50,Landfill/Urban
20210210,08:31:09,30.24,71.54,20,9,Landfill/Urban
20210210,08:31:24,31.56,74.39,81,38,Landfill/Urban
20210210,08:31:30,31.41,73.19,41,21,Landfill/Urban
20210210,08:32:12,34.02,72.16,24,12,Landfill/Urban
20210210,08:32:12,34.02,71.7,20,13,Landfill/Urban
20210210,08:33:47,37.62,61.76,64,33,Gas
20210210,08:34:23,39.93,61.3,35,13,Oil
20210210,20:18:52,20.52,-102.95,22,7,Landfill/Urban
20210210,20:24:15,36.74,-119.59,66,20,Landfill/Urban
20210211,04:50:40,32.94,116.03,30,14,Landfill/Urban
20210211,06:30:19,27.34,95.28,31,10,Oil
20210211,08:08:31,17.37,78.24,18,7,Landfill/Urban
20210211,08:11:34,28.45,78.73,22,9,Landfill/Urban
20210211,08:11:41,28.68,77.26,45,26,Landfill/Urban
20210211,08:12:16,30.79,75.99,11,4,Landfill/Urban
20210211,08:12:36,31.42,73.09,29,10,Landfill/Urban
20210211,08:13:25,34.03,71.5,15,7,Landfill/Urban
20210211,09:55:07,35.66,51.13,49,25,Gas
20210211,18:15:28,10.31,-71.35,78,35,Oil
20210212,06:12:30,33.9,113.47,28,10,Coal
20210212,07:51:49,22.61,72.47,14,11,Oil
20210212,07:53:54,31.64,74.32,93,55,Landfill/Urban
20210212,09:35:16,31.21,48.78,29,10,Oil
20210212,09:36:13,35.47,51.5,24,14,Gas
20210212,09:36:33,37.56,62.55,152,52,Gas
20210212,09:36:56,38.5,54.18,44,20,Oil
20210212,12:57:58,31.83,6.09,20,8,Gas
20210213,07:31:36,20.99,85.13,3,1,Coal
20210213,07:31:50,22.47,88.57,7,5,Gas
