date,time_UTC,lat,lon,source_rate_t/h,uncertainty_t/h,estimated_source_type,west,east,south,north
20211209,09:12:15,38.6,54.23,16,7,Oil,53.73,54.73,38.1,39.1
20211117,19:31:59,31.13,-102.56,32,13,Oil,-103.06,-102.06,30.63,31.63
20210410,20:15:32,32.25,-101.76,10,3,Oil,-102.26,-101.26,31.75,32.75
20210519,09:36:20,37.89,54.01,53,22,Oil,53.51,54.51,37.39,38.39
20210228,09:36:40,37.7,53.95,28,10,Oil,53.45,54.45,37.2,38.2
20210319,10:14:55,15.58,45.87,21,7,Oil,45.37,46.37,15.08,16.08
20211018,08:42:26,25.36,68.76,8,3,Oil,68.26,69.26,24.86,25.86
20210112,19:25:44,31.39,-103.28,51,18,Oil,-103.78,-102.78,30.89,31.89
20210215,08:35:12,22.29,73.17,22,15,Oil,72.67,73.67,21.79,22.79
20210815,08:45:20,36.03,61.82,130,42,Oil,61.32,62.32,35.53,36.53
20211110,20:03:17,31.72,-103.99,85,35,Oil,-104.49,-103.49,31.22,32.22
20210210,08:34:23,39.93,61.3,35,13,Oil,60.8,61.8,39.43,40.43
20210511,08:41:20,23.07,72.69,18,7,Oil,72.19,73.19,22.57,23.57
20211011,09:17:10,36.49,61.6,48,17,Oil,61.1,62.1,35.99,36.99
20210305,07:58:00,22.98,72.49,34,19,Oil,71.99,72.99,22.48,23.48
20210510,09:04:18,36.44,61.46,57,18,Oil,60.96,61.96,35.94,36.94
20211025,20:03:12,31.95,-103.83,37,17,Oil,-104.33,-103.33,31.45,32.45
20210514,09:29:32,36.61,61.21,161,51,Oil,60.71,61.71,36.11,37.11
20210417,09:40:28,51.92,54.49,27,12,Oil,53.99,54.99,51.42,52.42
20210404,08:35:13,22.97,72.39,19,10,Oil,71.89,72.89,22.47,23.47
20210222,19:55:52,29.06,-97.82,19,8,Oil,-98.32,-97.32,28.56,29.56
