"","country","latitude","longitude","primary_fuel"
"389","AUS",-20.6286,116.7821,"Gas"
"390","AUS",-20.5937,116.7802,"Gas"
"393","AUS",-24.334,150.628,"Coal"
"394","AUS",-24.3449,150.6197,"Coal"
"395","AUS",-24.3449,150.6182,"Coal"
"396","AUS",-18.0278,124.1621,"Gas"
"398","AUS",-21.8601,140.9158,"Gas"
"401","AUS",-20.6488,117.1407,"Gas"
"404","AUS",-21.0767,116.159,"Gas"
"407","AUS",-32.7897,151.4813,"Gas"
"408","AUS",-24.8692,113.6754,"Gas"
"411","AUS",-30.3808,121.1635,"Gas"
"414","AUS",-12.555,130.8666,"Gas"
"415","AUS",-32.9643,151.6936,"Gas"
"417","AUS",-22.399,119.732,"Oil"
"422","AUS",-22.3247,119.404,"Oil"
"425","AUS",-32.2001,115.7737,"Gas"
"428","AUS",-33.331,116.229,"Coal"
"429","AUS",-33.3422,116.2612,"Coal"
"430","AUS",-20.5447,147.8049,"Coal"
"432","AUS",-33.2099,151.5448,"Gas"
"433","AUS",-26.6682,150.27,"Gas"
"436","AUS",-23.1521,113.7762,"Oil"
"441","AUS",-27.0863,150.943,"Gas"
"442","AUS",-20.648,116.7219,"Gas"
"443","AUS",-27.1169,150.8942,"Gas"
"445","AUS",-27.8972,121.2698,"Gas"
"450","AUS",-25.9167,113.534,"Oil"
"451","AUS",-17.3141,123.6441,"Gas"
"453","AUS",-20.7837,139.4833,"Gas"
"454","AUS",-34.8475,138.5818,"Gas"
"461","AUS",-17.5504,133.5393,"Oil"
"465","AUS",-38.2546,146.4137,"Coal"
"466","AUS",-33.0617,151.5223,"Oil"
"467","AUS",-33.8762,121.8998,"Gas"
"470","AUS",-21.9465,114.125,"Gas"
"472","AUS",-18.1956,125.5597,"Gas"
"474","AUS",-28.7701,114.6485,"Gas"
"475","AUS",-22.9281,148.5515,"Gas"
"476","AUS",-23.8508,151.2187,"Coal"
"478","AUS",-32.4598,151.1286,"Gas"
"493","AUS",-33.3487,138.7517,"Gas"
"496","AUS",-18.2328,127.6619,"Gas"
"500","AUS",-38.2731,146.3923,"Coal"
"504","AUS",-33.905,120.1299,"Oil"
"508","AUS",-32.836,151.4505,"Oil"
"509","AUS",-32.3893,150.9664,"Gas"
"514","AUS",-38.2753,146.4263,"Gas"
"515","AUS",-38.2746,146.4249,"Gas"
"519","AUS",-26.3712,120.5776,"Gas"
"520","AUS",-27.4453,153.1185,"Gas"
"522","AUS",-31.9768,115.9988,"Oil"
"524","AUS",-30.7378,121.5065,"Gas"
"525","AUS",-30.8737,121.4842,"Gas"
"526","AUS",-31.1919,121.6741,"Gas"
"530","AUS",-20.7626,116.8375,"Gas"
"531","AUS",-14.4587,132.2445,"Gas"
"532","AUS",-33.1633,115.7805,"Gas"
"535","AUS",-39.9388,143.892,"Oil"
"536","AUS",-26.9177,150.7493,"Coal"
"538","AUS",-15.7796,128.7395,"Oil"
"539","AUS",-32.197,115.7759,"Gas"
"540","AUS",-32.1946,115.7797,"Gas"
"541","AUS",-32.2225,115.7661,"Gas"
"542","AUS",-32.1973,115.7754,"Gas"
"543","AUS",-32.202,115.7728,"Gas"
"544","AUS",-32.2243,115.7783,"Gas"
"545","AUS",-37.4567,140.7827,"Gas"
"556","AUS",-28.6216,122.3965,"Oil"
"557","AUS",-28.8096,122.415,"Oil"
"558","AUS",-37.8416,144.7887,"Gas"
"559","AUS",-20.7835,139.4864,"Gas"
